dict_key,dict_star,dict_sequence,dict_period,index,MJD,TEL_PAIR,VIS2,FLAG,BASELINE,WAVELENGTH,LDD_FIT,LDD_PRED,e_LDD_PRED,u_LLD,C_SCALE,SEQ_ORDER,UDD_FIT,C_SCALE_UDD
"('zet_Tuc', 'bright', 104)",zet_Tuc,bright,104,0,"[58816.03329056 58816.03329056 58816.03329056 58816.03329056
 58816.03329056 58816.03329056 58816.04470623 58816.04470623
 58816.04470623 58816.04470623 58816.04470623 58816.04470623]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.84785378 0.85049369 0.87938063 0.88503663 0.89552976 0.90187173]
 [0.61137954 0.62602642 0.65404702 0.66410238 0.68321856 0.70402762]
 [0.681329   0.68823877 0.71489145 0.73062988 0.75973352 0.77969022]
 [0.99325121 0.98254199 1.0042625  0.98773281 1.01189879 1.0165813 ]
 [0.80650979 0.78633759 0.81140776 0.81435954 0.81636902 0.84494439]
 [0.83661742 0.84772947 0.85673997 0.86414785 0.87745203 0.88105707]
 [0.81341393 0.81227766 0.84513022 0.85064376 0.8688675  0.87819917]
 [0.60796871 0.61652098 0.64938795 0.65789027 0.67317094 0.69787181]
 [0.67279324 0.6911676  0.71380053 0.71969467 0.75308569 0.77256409]
 [0.97928527 0.96972974 1.0020161  0.98477812 1.02680726 1.00820964]
 [0.79684831 0.78434444 0.81052519 0.82214148 0.82571946 0.85355034]
 [0.85662887 0.85569054 0.85938648 0.87124359 0.88862637 0.90634693]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 87.47890081 129.23519273 116.83732491  53.49836663 101.06485525
  83.06722153  88.08453205 129.18321773 115.17733483  52.83115818
 100.55191738  83.73165248]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.1792048799064236,,,,[1.07548965],[['zet_Tuc' 'bright' '104']],1.155934500180308,[1.07532849]
"('zet_Tuc', 'bright', 104)",zet_Tuc,bright,104,1,"[58816.03364312 58816.03364312 58816.03364312 58816.03364312
 58816.03364312 58816.03364312 58816.04470561 58816.04470561
 58816.04470561 58816.04470561 58816.04470561 58816.04470561]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.85017221 0.85622542 0.8797921  0.88629958 0.89750929 0.90438004]
 [0.62135151 0.63025867 0.66190218 0.66960608 0.6871379  0.70677076]
 [0.68753036 0.69581579 0.72244205 0.73256881 0.76102777 0.78342564]
 [1.00514986 0.9875214  1.00350832 0.99268305 1.0183126  1.01725563]
 [0.79036861 0.78410727 0.8086777  0.81056049 0.81261106 0.84716939]
 [0.838824   0.84497357 0.85767682 0.86361029 0.87484931 0.87960977]
 [0.8220559  0.83216354 0.85061509 0.85874097 0.87527751 0.8820541 ]
 [0.60849624 0.62007747 0.65005741 0.65528216 0.67833344 0.69689886]
 [0.67773966 0.69328871 0.71541985 0.714893   0.74918364 0.77084462]
 [0.99968976 0.97271608 0.9960321  0.98577618 1.02827131 1.01550546]
 [0.7997406  0.78736245 0.8106786  0.81974798 0.81516246 0.85963282]
 [0.84852052 0.84199528 0.85270207 0.86835832 0.88985352 0.90399576]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 87.49861359 129.2349951  116.78789678  53.47853935 101.05046922
  83.08888165  88.08428327 129.18282221 115.17703548  52.83101021
 100.55176099  83.73150542]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.1817964669335599,,,,[1.07800841],[['zet_Tuc' 'bright' '104']],1.1587028162419106,[1.07784265]
"('bet_Hyi', 'faint', 106)",bet_Hyi,faint,106,0,"[59468.17328628 59468.17328628 59468.17328628 59468.17328628
 59468.17328628 59468.17328628 59468.18369555 59468.18369555
 59468.18369555 59468.18369555 59468.18369555 59468.18369555]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.41946564 0.4351424  0.46615045 0.48585061 0.51386893 0.53126587]
 [0.06998454 0.08294825 0.1021139  0.11967693 0.13867668 0.15844847]
 [0.13145397 0.15045378 0.17398847 0.19472991 0.22158033 0.24242902]
 [0.76126553 0.75356947 0.78324901 0.79101706 0.82350919 0.83021875]
 [0.39917756 0.42706833 0.46354725 0.48366954 0.49883049 0.5250966 ]
 [0.59837712 0.6164601  0.6394341  0.66261072 0.69069921 0.70883312]
 [0.41513192 0.43079027 0.45868386 0.47768462 0.50719776 0.52801565]
 [0.06900112 0.08210304 0.10081419 0.11797343 0.13670612 0.15657282]
 [0.13714795 0.15908427 0.18225835 0.20245483 0.22977164 0.25068915]
 [0.73888891 0.7284431  0.75980113 0.76481774 0.79871716 0.80680068]
 [0.40551714 0.43563204 0.47159954 0.48747606 0.50076962 0.52528569]
 [0.57345734 0.59910668 0.62289256 0.64899448 0.6795755  0.70743426]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 81.56186171 128.13936791 115.25439684  53.73139966  81.38922289
  63.9466424   82.11850632 128.35562367 114.64591024  53.49306514
  81.53614883  64.80553194]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.3534674846772567,,,,[1.05536328],[['bet_Hyi' 'faint' '106']],2.29167085925625,[1.05038675]
"('bet_Hyi', 'faint', 106)",bet_Hyi,faint,106,1,"[59468.17399114 59468.17399114 59468.17399114 59468.17399114
 59468.17399114 59468.17399114 59468.1834313  59468.1834313
 59468.1834313  59468.1834313  59468.1834313  59468.1834313 ]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.42173109 0.44150262 0.47243199 0.49320835 0.51925994 0.53687982]
 [0.06869795 0.08392101 0.10243811 0.11957913 0.13952169 0.15871587]
 [0.12979783 0.15164722 0.17801895 0.19670924 0.22283657 0.24191675]
 [0.76587856 0.76464529 0.78999461 0.79795521 0.82855222 0.8310668 ]
 [0.40611526 0.43152298 0.4691345  0.48593712 0.4968485  0.51907795]
 [0.61233844 0.63058169 0.64893121 0.66464031 0.68365692 0.70127619]
 [0.41027299 0.42910301 0.45633758 0.47738732 0.50494226 0.52867915]
 [0.06760356 0.08218386 0.10075974 0.11724498 0.13663284 0.15572499]
 [0.13396891 0.15866038 0.18292178 0.20295968 0.22909798 0.24989711]
 [0.73385976 0.73411318 0.76787442 0.77174404 0.80485007 0.80873475]
 [0.40117141 0.42848195 0.47111107 0.48844165 0.50370188 0.52543899]
 [0.58056682 0.60612795 0.6307553  0.65326353 0.67731364 0.70148315]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 81.60034571 128.1550582  115.21508541  53.71600474  81.40154945
  64.00664382  82.10430883 128.3499777  114.66167873  53.49920097
  81.53309951  64.78419278]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.3467996393777577,,,,[1.05852386],[['bet_Hyi' 'faint' '106']],2.294031024952155,[1.05404803]
"('HD141004', 'faint', 105)",HD141004,faint,105,0,"[59671.31765057 59671.31765057 59671.31765057 59671.31765057
 59671.31765057 59671.31765057 59671.33688624 59671.33688624
 59671.33688624 59671.33688624 59671.33688624 59671.33688624]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.87177012 0.88272492 0.89337902 0.90951836 0.91909682 0.92106618]
 [0.68580155 0.69485708 0.7204105  0.73021574 0.74884647 0.76015674]
 [0.72816345 0.74156284 0.75316892 0.77849047 0.78977236 0.8038015 ]
 [0.99591014 0.99027178 0.98983237 0.98068706 1.00074342 0.98871686]
 [0.75461503 0.77857518 0.79620664 0.80116245 0.81006612 0.82525407]
 [0.83409078 0.8528999  0.85790009 0.87732385 0.87946094 0.88980065]
 [0.85987478 0.87226287 0.89166855 0.90385859 0.916254   0.9223443 ]
 [0.67731653 0.68758184 0.71148087 0.72127781 0.73851434 0.75175461]
 [0.70264008 0.71176129 0.72708702 0.74999295 0.76903522 0.79214548]
 [0.97971605 0.96843222 0.97228043 0.96541683 0.99030241 0.98195716]
 [0.75816429 0.77873562 0.79835258 0.80311071 0.81157024 0.83166548]
 [0.83798034 0.85311329 0.85737641 0.87480323 0.87739425 0.89247316]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 88.69386502 129.22845279 121.70699339  54.90421687 112.25981919
  90.72399924  86.14851599 128.4602155  126.03321121  56.61297059
 113.38403039  88.40047563]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0202137566913354,,,,[1.04641564],[['HD141004' 'faint' '105']],1.000307075289679,[1.04629487]
"('HD141004', 'faint', 105)",HD141004,faint,105,1,"[59671.31667947 59671.31667947 59671.31667947 59671.31667947
 59671.31667947 59671.31667947 59671.33670982 59671.33670982
 59671.33670982 59671.33670982 59671.33670982 59671.33670982]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.85825127 0.86828793 0.88122746 0.90140495 0.90979051 0.9094637 ]
 [0.67727059 0.68873952 0.71457133 0.72326077 0.74037959 0.75486789]
 [0.70838512 0.73442143 0.7448843  0.77669778 0.79223484 0.80278621]
 [0.98296705 0.97785132 0.97650913 0.96997263 0.99645254 0.97706368]
 [0.75033844 0.77024554 0.78101403 0.79279529 0.79803912 0.82188868]
 [0.826507   0.84334426 0.85391803 0.87615897 0.87640142 0.88289888]
 [0.85561395 0.86640306 0.88820795 0.90229113 0.91616029 0.9168173 ]
 [0.67189225 0.68289689 0.70550029 0.71622697 0.73324884 0.74872141]
 [0.69370892 0.70403012 0.72013645 0.74213552 0.76106134 0.78783613]
 [0.98166815 0.96746748 0.96931004 0.96335904 0.98746002 0.97952963]
 [0.75836744 0.7762544  0.79482554 0.80444858 0.80920609 0.8311348 ]
 [0.8392522  0.84996581 0.85576486 0.87199524 0.87374028 0.88908222]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 88.79352367 129.21724372 121.46058618  54.8017863  112.2151024
  90.84440875  86.17698192 128.47574957 125.9978538   56.59984524
 113.37161696  88.42133604]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0273764005974602,,,,[1.04238125],[['HD141004' 'faint' '105']],1.0064261420976277,[1.04226391]
"('HR_2998', 'faint', 104)",HR_2998,faint,104,0,"[58812.19158614 58812.19158614 58812.19158614 58812.19158614
 58812.19158614 58812.19158614 58812.22251033 58812.22251033
 58812.22251033 58812.22251033 58812.22251033 58812.22251033]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.98417013 0.98924543 0.99569504 0.98586157 0.99767237 0.99605083]
 [0.85768604 0.86477649 0.86911186 0.86515782 0.87089715 0.87340639]
 [0.80935311 0.80500846 0.82452655 0.82588382 0.84286933 0.85964389]
 [1.04693855 1.03442491 1.03315045 1.04033642 1.04926284 1.05467446]
 [0.94211105 0.93517405 0.94105004 0.94610857 0.94520251 0.9594029 ]
 [1.02537847 1.02050092 1.02598123 1.03093018 1.02631945 1.05886564]
 [0.98697515 0.97692885 0.98736251 0.994392   1.00808978 1.0204679 ]
 [0.8329087  0.82212896 0.82558218 0.82514079 0.83155563 0.83723623]
 [0.80185882 0.8041907  0.81418708 0.81363447 0.83143233 0.84231892]
 [1.08292343 1.06528273 1.06904075 1.07832458 1.09294612 1.08620039]
 [0.95910037 0.93258404 0.9504203  0.95099788 0.94271343 0.96039149]
 [1.01679544 1.01873214 1.01797709 1.02947842 1.02817028 1.05231307]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 63.28892991 104.46394124 118.22868769  57.10256499  89.10630113
  40.4089046   71.46910036 112.31193558 121.69186482  57.61682846
  89.06936841  42.13624146]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],0.9964779216682221,,,,[1.09726079],[['HR_2998' 'faint' '104']],0.9684281085494499,[1.0971824]
"('HR_2998', 'faint', 104)",HR_2998,faint,104,1,"[58812.19167432 58812.19167432 58812.19167432 58812.19167432
 58812.19167432 58812.19167432 58812.2226862  58812.2226862
 58812.2226862  58812.2226862  58812.2226862  58812.2226862 ]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.97423575 0.9792541  0.98546011 0.97865863 0.9934802  0.99681009]
 [0.86298713 0.86768824 0.86319164 0.8608952  0.86403952 0.86836059]
 [0.80639399 0.8017054  0.81804847 0.82027923 0.83545946 0.85953361]
 [1.01925885 1.02553213 1.03172929 1.03529233 1.03923916 1.05093838]
 [0.93824758 0.93355936 0.94062262 0.93945644 0.9390223  0.94863889]
 [1.02645098 1.01848314 1.02673388 1.02688991 1.01951505 1.05609586]
 [0.98243313 0.97622449 0.99148303 0.99601102 1.00974538 1.02396821]
 [0.83971929 0.82465034 0.82408502 0.81932112 0.82219168 0.83232004]
 [0.80049542 0.80238783 0.81167947 0.80717927 0.82835853 0.84280417]
 [1.08357698 1.08015704 1.08098168 1.08763233 1.09168242 1.08683072]
 [0.95087398 0.93076078 0.95624024 0.9453893  0.93970548 0.94995765]
 [1.02220322 1.02117167 1.02273874 1.02961246 1.02586173 1.05361513]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 63.31395677 104.48658743 118.23797126  57.10379807  89.10640142
  40.41445098  71.51267086 112.35566052 121.71208307  57.6199426
  89.0685931   42.14504361]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0007575009633474,,,,[1.0954713],[['HR_2998' 'faint' '104']],0.9726745955137079,[1.09539153]
"('HR_2998', 'bright', 104)",HR_2998,bright,104,0,"[58813.20725692 58813.20725692 58813.20725692 58813.20725692
 58813.20725692 58813.20725692 58813.22591611 58813.22591611
 58813.22591611 58813.22591611 58813.22591611 58813.22591611]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.9963285  0.99192796 1.00522293 1.01322704 1.03686222 1.04486137]
 [0.87678179 0.84215456 0.85583045 0.85744468 0.86241275 0.87535739]
 [0.73139774 0.74045437 0.75706803 0.78053038 0.80529507 0.83500359]
 [1.08286613 1.06019163 1.06517291 1.08620854 1.0876028  1.09904933]
 [0.81583484 0.80191086 0.81838252 0.81779829 0.82904284 0.84818162]
 [0.92258286 0.91837451 0.96185999 0.95593367 0.97959536 0.98131146]
 [0.97296446 0.96141814 0.97509648 0.98129649 0.99941683 1.01122569]
 [0.83695782 0.81018102 0.82131975 0.82236831 0.83426535 0.84966809]
 [0.72125494 0.73210471 0.75373381 0.76481285 0.79144695 0.8130191 ]
 [1.04685909 1.02265565 1.03529146 1.03796974 1.05394762 1.061106  ]
 [0.79167573 0.78328474 0.8126126  0.80220667 0.81829655 0.8333296 ]
 [0.90194494 0.90160216 0.92686743 0.9334903  0.95502304 0.95847078]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 68.2874075  109.18144418 132.16820293  57.40745237 122.0910784
  84.22673032  72.95383587 113.80964646 132.33950037  57.72213477
 123.02454965  87.22126943]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0422557812667044,,,,[1.12234982],[['HR_2998' 'bright' '104']],1.012650015685271,[1.12218291]
"('HR_2998', 'bright', 104)",HR_2998,bright,104,1,"[58813.20752153 58813.20752153 58813.20752153 58813.20752153
 58813.20752153 58813.20752153 58813.22529813 58813.22529813
 58813.22529813 58813.22529813 58813.22529813 58813.22529813]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.99271562 0.99107318 1.00616791 1.01494173 1.04209861 1.05002159]
 [0.874468   0.85328469 0.86424155 0.86528788 0.86858497 0.88058613]
 [0.73517319 0.74862531 0.76367164 0.78768905 0.8102001  0.83729232]
 [1.10144814 1.06694656 1.06870973 1.09248956 1.09225534 1.10040036]
 [0.80639531 0.79796541 0.81993018 0.82313199 0.83371416 0.84893743]
 [0.92039089 0.9188807  0.9618298  0.95719949 0.97147171 1.00768693]
 [0.97707948 0.96615849 0.97896912 0.98654334 1.00212268 1.01767048]
 [0.83776886 0.81411542 0.8284017  0.82875264 0.84066846 0.8546518 ]
 [0.72431568 0.73573062 0.75797967 0.76836257 0.79257582 0.81632473]
 [1.06323948 1.02603775 1.03938741 1.04079399 1.05604758 1.0643096 ]
 [0.78548068 0.7845832  0.81439595 0.8096392  0.82298297 0.83413674]
 [0.89687494 0.89585122 0.92448877 0.9308611  0.94552142 0.97170339]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 68.3563755  109.24837265 132.17083281  57.41190975 122.10598548
  84.27164424  72.80664766 113.66134382 132.33542096  57.71231767
 122.99773468  87.12791924]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0420360183985413,,,,[1.12541945],[['HR_2998' 'bright' '104']],1.0125302014946005,[1.12525157]
"('bet_Hyi', 'bright', 106)",bet_Hyi,bright,106,0,"[59462.26022191 59462.26022191 59462.26022191 59462.26022191
 59462.26022191 59462.26022191 59462.26992237 59462.26992237
 59462.26992237 59462.26992237 59462.26992237 59462.26992237]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.38113932 0.41170618 0.43792645 0.46204827 0.48838716 0.50631546]
 [0.06739501 0.08285592 0.10246206 0.12090134 0.13980447 0.15852029]
 [0.17651062 0.19369552 0.21377814 0.23705276 0.26312022 0.28683702]
 [0.7679006  0.77963802 0.80267314 0.81268224 0.84416921 0.85168288]
 [0.39930173 0.42309731 0.45969528 0.47839704 0.49264663 0.51206033]
 [0.52964917 0.56216263 0.59698691 0.61774905 0.63866124 0.65276644]
 [0.38540502 0.41284776 0.44062483 0.46353165 0.48943357 0.50580885]
 [0.06887294 0.08482468 0.10397244 0.1225441  0.14180703 0.16000848]
 [0.18362629 0.20260382 0.22377608 0.24758349 0.27202664 0.29601189]
 [0.76626067 0.77303679 0.79347784 0.80750657 0.83846476 0.8434491 ]
 [0.40847405 0.43779974 0.47357158 0.49399573 0.50743219 0.52980577]
 [0.53444379 0.56249814 0.59973677 0.62032706 0.63975773 0.65184797]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 84.97449371 129.15888095 110.11754949  51.73447156  81.04195297
  68.78482225  85.36419912 129.20708051 109.23102398  51.39202237
  80.74796536  69.26489378]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.332388363792891,,,,[1.055135],[['bet_Hyi' 'bright' '106']],2.2719517654918873,[1.05070687]
"('bet_Hyi', 'bright', 106)",bet_Hyi,bright,106,1,"[59462.25951676 59462.25951676 59462.25951676 59462.25951676
 59462.25951676 59462.25951676 59462.26965885 59462.26965885
 59462.26965885 59462.26965885 59462.26965885 59462.26965885]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.38198035 0.41169403 0.43689174 0.45926483 0.48376197 0.50330505]
 [0.06676441 0.08269213 0.10137558 0.11944965 0.13823184 0.15706374]
 [0.17341384 0.19121197 0.2115956  0.23553912 0.26114612 0.28436978]
 [0.7640062  0.77396058 0.79615647 0.8046641  0.84205216 0.84516651]
 [0.39947935 0.42331555 0.45818871 0.47573079 0.48685855 0.50677478]
 [0.52363147 0.55895828 0.59356612 0.6158164  0.63749633 0.65001175]
 [0.38734045 0.41555963 0.4416657  0.46333682 0.488648   0.50391694]
 [0.06885999 0.08521564 0.10394958 0.12231238 0.14146701 0.15998196]
 [0.18384171 0.20231199 0.22297732 0.24682103 0.27047585 0.29488229]
 [0.76543738 0.77462709 0.79496484 0.80692685 0.84475616 0.84321608]
 [0.39818992 0.43218556 0.46940661 0.49545111 0.50856564 0.53060001]
 [0.52520586 0.55588178 0.59495287 0.61901555 0.64033818 0.65254535]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 84.9450046  129.15413643 110.18040028  51.75874589  81.06095633
  68.74787031  85.35407029 129.20636441 109.25590045  51.40164688
  80.75686784  69.25255492]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.323494492295207,,,,[1.04953742],[['bet_Hyi' 'bright' '106']],2.2719822703489156,[1.04579669]
"('psi_Vel', 'faint', 106)",psi_Vel,faint,106,0,"[59278.15871884 59278.15871884 59278.15871884 59278.15871884
 59278.15871884 59278.15871884 59278.16917016 59278.16917016
 59278.16917016 59278.16917016 59278.16917016 59278.16917016]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.84488391 0.85896458 0.87012786 0.88490746 0.88541459 0.89311986]
 [0.6982078  0.70837798 0.73007492 0.74856076 0.76336143 0.78573416]
 [0.73251318 0.73834391 0.75145289 0.78017672 0.79051171 0.79835796]
 [0.97306269 0.96560845 0.97109306 0.98046058 0.96899933 0.98693745]
 [0.71955034 0.75405833 0.74999585 0.76361834 0.78276202 0.78438079]
 [0.79221896 0.8195726  0.81580988 0.84076279 0.84476127 0.85363378]
 [0.84164685 0.84433867 0.86047186 0.87486634 0.87822986 0.88838328]
 [0.69922089 0.70301672 0.72928905 0.74205377 0.75885431 0.7836266 ]
 [0.74278442 0.75418457 0.76682098 0.78700999 0.79694868 0.81699759]
 [0.96052459 0.94148743 0.96225655 0.96776429 0.96807686 0.99122225]
 [0.74243842 0.75817702 0.7633618  0.77754306 0.78654525 0.79949997]
 [0.78992416 0.79889497 0.81378075 0.82816716 0.84693956 0.85871001]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 90.44743584 128.81982427 127.91165926  56.60382809 126.96616012
 101.20044399  90.5062007  128.14984451 126.46307931  55.95020476
 126.6299861  101.51036929]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],0.9448825176735449,,,,[1.01977483],[['psi_Vel' 'faint' '106']],0.9308040982243042,[1.01971292]
"('psi_Vel', 'faint', 106)",psi_Vel,faint,106,1,"[59278.1580166  59278.1580166  59278.1580166  59278.1580166
 59278.1580166  59278.1580166  59278.16917161 59278.16917161
 59278.16917161 59278.16917161 59278.16917161 59278.16917161]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.84764264 0.85494306 0.87840325 0.87928127 0.88504702 0.89347003]
 [0.68721925 0.71234606 0.7266953  0.7399415  0.76137296 0.77765975]
 [0.71613851 0.73430223 0.74888003 0.76157943 0.78390346 0.76658915]
 [1.0039887  0.9748878  0.97131878 0.97925663 0.98515691 1.00136503]
 [0.72711248 0.74478873 0.73219077 0.76611302 0.77761771 0.78488613]
 [0.78779033 0.81978458 0.81130198 0.82817227 0.85038096 0.83782756]
 [0.84416932 0.84445204 0.86738558 0.87461745 0.88006844 0.89155469]
 [0.69358448 0.71291646 0.72827034 0.74088471 0.75956452 0.78030478]
 [0.73623463 0.74797694 0.76491907 0.77793338 0.79765538 0.7938085 ]
 [0.99310743 0.95061588 0.96371429 0.96571944 0.98231975 0.98971551]
 [0.73852877 0.74665108 0.75101489 0.7766482  0.79478087 0.79337484]
 [0.7898825  0.80318034 0.81247841 0.82193093 0.84963373 0.8447744 ]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 90.43765073 128.85410077 128.00085742  56.64355413 126.98666049
 101.17782586  90.50572926 128.14870649 126.46185041  55.94961373
 126.6295974  101.51027875]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],0.970972871846261,,,,[1.02960587],[['psi_Vel' 'faint' '106']],0.9570192761035529,[1.02953644]
